customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
7590-VHVEG,Female,0.0,Yes,No,0.013888888888888888,No,No phone service,DSL,No,Yes,No,No,No,No,0.0,Yes,Electronic check,0.11542288557213931,0.001275098084468036
5575-GNVDE,Male,0.0,No,No,0.4722222222222222,Yes,No,DSL,Yes,No,Yes,No,No,No,0.5,No,,0.3850746268656717,0.21586660512347103
3668-QPYBK,Male,0.0,No,No,0.027777777777777776,Yes,No,DSL,Yes,Yes,No,No,No,No,0.0,Yes,Mailed check,0.35422885572139307,0.010310408492960998
7795-CFOCW,Male,0.0,No,No,0.625,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,0.5,No,Bank transfer (automatic),0.23930348258706466,0.21024117239787676
9237-HQITU,Female,0.0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,No,No,0.0,Yes,Electronic check,0.5218905472636817,0.015330025386568196
9305-CDSKC,Female,0.0,No,No,0.1111111111111111,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.0,Yes,Electronic check,0.809950248756219,0.09251096238172167
1452-KIOVK,Male,0.0,No,Yes,0.3055555555555556,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,0.0,Yes,Credit card (automatic),0.7049751243781094,0.22277867528271408
6713-OKOMC,Female,0.0,No,No,0.1388888888888889,No,No phone service,DSL,Yes,No,No,No,No,No,0.0,No,Mailed check,0.11442786069651742,0.03266789753057927
7892-POOKP,Female,0.0,Yes,No,0.3888888888888889,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,0.0,Yes,Electronic check,0.8611940298507462,0.3493249480729287
6388-TABGU,,0.0,No,Yes,0.8611111111111112,Yes,No,DSL,Yes,Yes,No,No,No,No,0.5,No,Bank transfer (automatic),0.3771144278606965,0.4003173321024694
9763-GRSKD,Male,0.0,Yes,Yes,0.18055555555555555,Yes,No,DSL,Yes,No,No,No,No,No,0.0,Yes,Mailed check,0.3154228855721393,0.06561850911608587
7469-LKBCI,Male,0.0,No,No,0.2222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1.0,No,Credit card (automatic),0.006965174129353227,0.035541195476575124
8091-TTVAX,Male,0.0,Yes,No,0.8055555555555556,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0.5,No,Credit card (automatic),0.8169154228855721,0.6533925686591276
0280-XJGEX,Male,0.0,No,No,0.6805555555555556,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0.0,Yes,Bank transfer (automatic),0.8502487562189055,0.578986845141934
5129-JLPIS,Male,0.0,No,No,0.3472222222222222,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0.0,Yes,Electronic check,0.8681592039800995,0.30778329102238633
3655-SNQYZ,Female,0.0,Yes,Yes,0.9583333333333334,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1.0,No,Credit card (automatic),0.945273631840796,0.9088795291945534
8191-XWSZG,Female,0.0,No,No,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.5,No,Mailed check,0.02388059701492536,0.1158723747980614
9959-WOFKT,Male,0.0,No,Yes,0.9861111111111112,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,1.0,No,Bank transfer (automatic),0.8800995024875622,0.8496942072467113
4190-MFLUW,Female,0.0,Yes,Yes,0.1388888888888889,Yes,No,DSL,No,No,Yes,Yes,No,No,0.0,No,Credit card (automatic),0.36766169154228856,0.058798753750288486
